2023-04-12 07:52:39 configure libnghttp2-14:amd64 1.36.0-2+deb10u1 <none>
2023-04-12 07:52:39 status unpacked libnghttp2-14:amd64 1.36.0-2+deb10u1
2023-04-12 07:52:39 status half-configured libnghttp2-14:amd64 1.36.0-2+deb10u1
2023-04-12 07:52:39 status installed libnghttp2-14:amd64 1.36.0-2+deb10u1
2023-04-12 07:52:39 configure libldap-common:all 2.4.47+dfsg-3+deb10u7 <none>
2023-04-12 07:52:39 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u7
2023-04-12 07:52:39 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u7
2023-04-12 07:52:39 status installed libldap-common:all 2.4.47+dfsg-3+deb10u7
2023-04-12 07:52:39 configure libkrb5support0:amd64 1.17-3+deb10u5 <none>
2023-04-12 07:52:39 status unpacked libkrb5support0:amd64 1.17-3+deb10u5
2023-04-12 07:52:39 status half-configured libkrb5support0:amd64 1.17-3+deb10u5
2023-04-12 07:52:39 status installed libkrb5support0:amd64 1.17-3+deb10u5
2023-04-12 07:52:39 configure libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u2 <none>
2023-04-12 07:52:39 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u2
2023-04-12 07:52:39 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u2
2023-04-12 07:52:39 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u2
2023-04-12 07:52:39 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2 <none>
2023-04-12 07:52:39 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2023-04-12 07:52:39 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2023-04-12 07:52:39 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2023-04-12 07:52:39 configure libpcre2-8-0:amd64 10.32-5+deb10u1 <none>
2023-04-12 07:52:39 status unpacked libpcre2-8-0:amd64 10.32-5+deb10u1
2023-04-12 07:52:39 status half-configured libpcre2-8-0:amd64 10.32-5+deb10u1
2023-04-12 07:52:39 status installed libpcre2-8-0:amd64 10.32-5+deb10u1
2023-04-12 07:52:39 configure libk5crypto3:amd64 1.17-3+deb10u5 <none>
2023-04-12 07:52:39 status unpacked libk5crypto3:amd64 1.17-3+deb10u5
2023-04-12 07:52:39 status half-configured libk5crypto3:amd64 1.17-3+deb10u5
2023-04-12 07:52:39 status installed libk5crypto3:amd64 1.17-3+deb10u5
2023-04-12 07:52:39 configure libsasl2-2:amd64 2.1.27+dfsg-1+deb10u2 <none>
2023-04-12 07:52:39 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u2
2023-04-12 07:52:39 status half-configured libsasl2-2:amd64 2.1.27+dfsg-1+deb10u2
2023-04-12 07:52:39 status installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u2
2023-04-12 07:52:39 configure libssh2-1:amd64 1.8.0-2.1 <none>
2023-04-12 07:52:39 status unpacked libssh2-1:amd64 1.8.0-2.1
2023-04-12 07:52:39 status half-configured libssh2-1:amd64 1.8.0-2.1
2023-04-12 07:52:39 status installed libssh2-1:amd64 1.8.0-2.1
2023-04-12 07:52:39 configure netbase:all 5.6 <none>
2023-04-12 07:52:39 status unpacked netbase:all 5.6
2023-04-12 07:52:39 status half-configured netbase:all 5.6
2023-04-12 07:52:39 status installed netbase:all 5.6
2023-04-12 07:52:39 configure libkrb5-3:amd64 1.17-3+deb10u5 <none>
2023-04-12 07:52:39 status unpacked libkrb5-3:amd64 1.17-3+deb10u5
2023-04-12 07:52:39 status half-configured libkrb5-3:amd64 1.17-3+deb10u5
2023-04-12 07:52:39 status installed libkrb5-3:amd64 1.17-3+deb10u5
2023-04-12 07:52:39 configure openssl:amd64 1.1.1n-0+deb10u4 <none>
2023-04-12 07:52:39 status unpacked openssl:amd64 1.1.1n-0+deb10u4
2023-04-12 07:52:39 status half-configured openssl:amd64 1.1.1n-0+deb10u4
2023-04-12 07:52:39 status installed openssl:amd64 1.1.1n-0+deb10u4
2023-04-12 07:52:39 configure wget:amd64 1.20.1-1.1 <none>
2023-04-12 07:52:39 status unpacked wget:amd64 1.20.1-1.1
2023-04-12 07:52:39 status half-configured wget:amd64 1.20.1-1.1
2023-04-12 07:52:39 status installed wget:amd64 1.20.1-1.1
